Cell_Line,CH,CH,CH,CH,CH,CH,43,43,43,43,43,43,Io,Io,Io,Io,Io,Io,LN,LN,LN,LN,LN,LN
Plate_Layout,A,A,A,B,B,B,A,A,A,B,B,B,A,A,A,B,B,B,B,B,B,A,A,A
Replicate,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
B09,0.01877189480502741,0.018939857340399255,0.02565025378319275,0.1341916720151875,0.15491265932480153,0.15404568264271262,0.013524813115340295,0.015922575068036068,0.010614457116914285,0.14678087478607885,0.10815923898252641,0.10763513097135896,0.023134086738701896,0.02483984729851181,0.028987928215040763,0.11174498363821486,0.11279190690100904,0.09406666010647137,0.3490381091035779,0.35512702954099673,0.3632014275269893,0.06784614363615711,0.07415176808192979,0.07702730141643041
B10,0.015354326786955507,0.01480359431445541,0.010611220396105223,0.5312972142426502,0.5882464731333105,0.531209174725511,0.000861203921457061,0.0012078003154950324,0.0011666787094227306,0.18063538583533956,0.14782996286542774,0.1462587176772841,0.02635462659153798,0.02077978277777845,0.024468750331365908,0.4152347854700087,0.4328385297166561,0.414751104505992,0.3787226040219847,0.3840043340831137,0.3512173980042693,0.017064676385583306,0.015542109636321026,0.013122633618500894
B11,0.014825407913284391,0.014089023461672647,0.015437334069219223,0.9956850596313996,0.9475405958076188,0.9966851966820394,0.04184995372172201,0.05326290170074455,0.04232263936208848,1.0560935507482596,0.9834188298509154,0.9380013914296106,0.01798784125294692,0.0181570403683996,0.016631994586883334,0.8437546220137723,0.7940237455072713,0.8569384916287647,1.0039228981942792,0.9893021960754863,1.0074254079164353,0.12257569306263749,0.12809805615055206,0.14499649463266842
B12,0.6983152062523782,0.6940927924050697,0.5916265983415571,0.8889123160572057,0.992500395880876,0.8943015868045517,0.4332126500500939,0.27866475551197245,0.19712472688707622,0.8761919102708287,0.9144576726548997,0.8714170387130186,0.714318301273411,0.6870558453921624,0.6839244849939843,0.28625322818101206,0.25722964781223867,0.252878285684217,0.9678915244734381,0.9521829212536636,0.9403437025978653,0.9542903509487566,0.9596226365619381,1.0465585865182228
B13,1.0787637376699908,1.0148981239320267,0.9894986974050994,0.8455590468589402,0.8435773196498092,0.8197500065343729,1.0485491296522207,1.135194116679502,1.033089796798402,0.9391667982334944,0.8867389972566693,0.8344203912928022,0.9591561875199791,0.9721917635062313,0.9929680504097258,0.6948417349719399,0.7231281782070277,0.7414382762422924,0.6496649998630997,0.6513680848264424,0.6426126299058277,1.0318376172762473,1.0080074600815168,0.9750396702323242
B14,0.6211806342871439,0.7031156428977063,0.5865360951938838,0.9446680592234228,0.9750168242983043,1.0049790110763444,0.6751461118070115,0.6649372062567701,0.6587596127978819,0.9020365571343756,0.8847213505716055,0.891307993613774,0.5996971850062648,0.5446932180653214,0.6477613802771318,0.7689459192889068,0.8724989818173065,0.8626301051722185,0.9682188457985295,0.9793265211407651,0.9605252216179534,1.0197980801740876,0.9854190805678971,0.9198391840198916
B15,0.030519258794359818,0.029288968455471718,0.028935458641863237,0.8675383727324283,1.0293178092733422,0.954226744035742,0.05237022186318854,0.06792983357266894,0.06006620946797504,0.8679435220523581,0.8765103088687435,0.8411155949116864,0.07487621724803921,0.07367492993319309,0.06758650513580662,0.9171231904588691,0.9424451630834844,0.9250131030486773,0.9524261834074341,1.0018796776597094,1.0021611285586773,0.2526662688793721,0.2399255302934703,0.2614359377314384
B16,1.0037840842536663,1.0650714189307915,0.9788809153018764,0.9685296622600164,1.0006489481733918,0.9644685898512517,0.9371302234766598,0.888629346638606,0.9178769939072865,1.002764120338782,0.9369973499874912,0.3978719675339957,0.9387387974751678,0.9247664842974146,0.9065539681922535,0.6647747766171888,0.735855678218238,0.7063656587451813,1.0276367366525856,0.9614846091312452,0.9525085525452257,1.02689701936704,1.0320183683202198,0.992404596955151
B17,1.0255275361895777,1.0165031845025123,1.061314527122249,1.0337718358615262,1.0591479253235259,1.0349297820159045,0.938383934187819,1.048075182381016,1.0503264077584062,0.9395438933709953,1.046320358660187,0.9740127432705942,0.9259345629591688,0.9531086135300002,0.9324609810397997,0.8952713242242275,0.9987419927021258,0.9279307053111718,1.0206762289563656,0.9767738680590893,0.9859327181324521,1.0038248329296382,1.0178029142172569,0.9983771085781356
B18,1.066351550729342,1.0048998301428889,1.0538980989346372,1.0318961551937516,0.948506657596931,0.9934976648350581,0.9261128317836379,0.8991424625499618,0.8542472841097126,0.905891559835214,0.9129817808256044,0.9071207860804855,0.9715302339150987,0.975571269766581,0.9930756242703227,0.9401127949443183,0.9848415273472031,0.9572586430325226,0.9595270843467055,0.970247273985379,0.9283757064132907,0.9510346626276824,0.9364467264631314,0.915257443116926
B19,0.3113429197486336,0.3247869655676462,0.31853033433015837,0.8653926841474955,0.9688726713182797,1.0168016456786055,0.8675939765196337,0.8041838666728003,0.8242078423864015,0.02167388377648773,0.022075953011604414,0.020917104199127207,0.19959661344481164,0.20948811011344956,0.23430985298187826,0.01714113660618057,0.018910624367643056,0.08603701079845802,0.7524864871503564,0.9414816063600194,0.8685063310371515,0.8848894914407596,0.9058803863116026,0.8923921750502651
B20,1.021196113931001,0.9638028638876651,1.0069797417730648,0.8559688681438856,0.8380149505473481,0.887601176031868,0.8482563064374229,0.8411558404121845,0.8278135893114906,0.964014187474373,0.9754641741909069,0.9557415181756994,0.9116476205029679,0.904927628881193,0.9163292049046918,0.8016904765242104,0.7125197254458664,0.787051304195562,1.0246884785485098,0.9589736116155236,0.9769415783968838,0.9869520654635262,1.0267666479290571,1.078019445049963
B21,0.0016368336360786159,0.00582169132947528,0.0021419858846091475,0.9186397216223311,0.8651011763156815,0.9666286335966146,0.041605752678852734,0.03825078378413262,0.046371975539824736,0.7984058157027024,0.7853817914632365,0.8212727032099179,0.0016251634229614766,0.001173496800007695,0.000939627908147377,0.5499039616866989,0.5672383305878916,0.5626404508578446,0.8720013620172729,0.9311002062129039,0.8968880117776321,0.01703508690460756,0.017765220483758098,0.019366220853195264
